10,Greece,Amfissa,i20,00:04:06.037,2025-10-02 23:08:17.716636
11,Greece,Paleohori,i20,00:03:26.429,2025-10-03 11:39:57.05326
15,Croatia,Grdanjci,i20,00:02:53.643,2025-10-04 00:25:54.710469
25,Estonia,Otepaa,yaris,00:03:04.233,2025-10-11 23:20:15.991805
26,Chile,Pelun,yaris,00:03:42.639,2025-10-11 23:55:26.735686
30,Chile,Lircay,i20,00:03:20.08,2025-10-13 23:45:36.873137
32,Estonia,Elva,yaris,00:04:03.566,2025-10-16 22:06:26.070179
33,Greece,Psatha,yaris,00:05:16.394,2025-10-16 22:22:34.048779
35,Belgium,Kemmelberg,i20,00:04:28.239,2025-10-18 12:37:32.726285
38,Belgium,Dikkebus,yaris,00:02:59.09,2025-10-18 16:08:55.399439
39,Chile,Biobio,i20,00:03:15.587,2025-11-05 22:01:54.178969
